x,y,center_x,center_y,hexbin_id,hex_attempts,hex_pct,hex_points_scored,hex_points_per_shot,zone_range,name_zone,zone_attempts,zone_pct,zone_points_scored,zone_points_per_shot,league_pct,league_pps,slug_season,streak_col,radius_factor,adj_x,adj_y,bounded_fg_diff,bounded_fg_pct,bounded_points_per_shot
-21.000001,3.232049807568877,-21.750001,2.799037105676658,35,1,0,0,0,24+ ft.,Left Side,22,0.5454545454545454,36,1.6363636363636365,0.37638786084381937,1.13,2015-2021,3+ Makes,0.4469871512778951,21.41476063654158,2.9925882197626055,0.15,0.5454545454545454,1.5
-21.000001,2.3660244037844387,-21.750001,2.799037105676658,35,1,0,0,0,24+ ft.,Left Side,22,0.5454545454545454,36,1.6363636363636365,0.37638786084381937,1.13,2015-2021,3+ Makes,0.4469871512778951,21.41476063654158,2.6054859915907103,0.15,0.5454545454545454,1.5
-21.750001,1.933011701892219,-21.750001,2.799037105676658,35,1,0,0,0,24+ ft.,Left Side,22,0.5454545454545454,36,1.6363636363636365,0.37638786084381937,1.13,2015-2021,3+ Makes,0.4469871512778951,21.750001,2.4119348775047627,0.15,0.5454545454545454,1.5
-22.500001,2.3660244037844387,-21.750001,2.799037105676658,35,1,0,0,0,24+ ft.,Left Side,22,0.5454545454545454,36,1.6363636363636365,0.37638786084381937,1.13,2015-2021,3+ Makes,0.4469871512778951,22.085241363458422,2.6054859915907103,0.15,0.5454545454545454,1.5
-22.500001,3.232049807568877,-21.750001,2.799037105676658,35,1,0,0,0,24+ ft.,Left Side,22,0.5454545454545454,36,1.6363636363636365,0.37638786084381937,1.13,2015-2021,3+ Makes,0.4469871512778951,22.085241363458422,2.9925882197626055,0.15,0.5454545454545454,1.5
-21.750001,3.6650625094610967,-21.750001,2.799037105676658,35,1,0,0,0,24+ ft.,Left Side,22,0.5454545454545454,36,1.6363636363636365,0.37638786084381937,1.13,2015-2021,3+ Makes,0.4469871512778951,21.750001,3.186139333848553,0.15,0.5454545454545454,1.5
-16.500001,3.232049807568877,-17.250001,2.799037105676658,38,1,0,0,0,16-24 ft.,Left Side,13,0.6923076923076923,18,1.3846153846153846,0.4078341013824885,0.82,2015-2021,3+ Makes,0.4469871512778951,16.91476063654158,2.9925882197626055,0.15,0.6923076923076923,1.3846153846153846
-16.500001,2.3660244037844387,-17.250001,2.799037105676658,38,1,0,0,0,16-24 ft.,Left Side,13,0.6923076923076923,18,1.3846153846153846,0.4078341013824885,0.82,2015-2021,3+ Makes,0.4469871512778951,16.91476063654158,2.6054859915907103,0.15,0.6923076923076923,1.3846153846153846
-17.250001,1.933011701892219,-17.250001,2.799037105676658,38,1,0,0,0,16-24 ft.,Left Side,13,0.6923076923076923,18,1.3846153846153846,0.4078341013824885,0.82,2015-2021,3+ Makes,0.4469871512778951,17.250001,2.4119348775047627,0.15,0.6923076923076923,1.3846153846153846
-18.000001,2.3660244037844387,-17.250001,2.799037105676658,38,1,0,0,0,16-24 ft.,Left Side,13,0.6923076923076923,18,1.3846153846153846,0.4078341013824885,0.82,2015-2021,3+ Makes,0.4469871512778951,17.585241363458422,2.6054859915907103,0.15,0.6923076923076923,1.3846153846153846
-18.000001,3.232049807568877,-17.250001,2.799037105676658,38,1,0,0,0,16-24 ft.,Left Side,13,0.6923076923076923,18,1.3846153846153846,0.4078341013824885,0.82,2015-2021,3+ Makes,0.4469871512778951,17.585241363458422,2.9925882197626055,0.15,0.6923076923076923,1.3846153846153846
-17.250001,3.6650625094610967,-17.250001,2.799037105676658,38,1,0,0,0,16-24 ft.,Left Side,13,0.6923076923076923,18,1.3846153846153846,0.4078341013824885,0.82,2015-2021,3+ Makes,0.4469871512778951,17.250001,3.186139333848553,0.15,0.6923076923076923,1.3846153846153846
19.499999,3.232049807568877,18.749999,2.799037105676658,62,1,1,2,2,16-24 ft.,Right Side,12,0.5833333333333334,14,1.1666666666666667,0.3591905564924115,0.72,2015-2021,3+ Makes,0.4469871512778951,-19.08523936345842,2.9925882197626055,0.15,0.5833333333333334,1.1666666666666667
19.499999,2.3660244037844387,18.749999,2.799037105676658,62,1,1,2,2,16-24 ft.,Right Side,12,0.5833333333333334,14,1.1666666666666667,0.3591905564924115,0.72,2015-2021,3+ Makes,0.4469871512778951,-19.08523936345842,2.6054859915907103,0.15,0.5833333333333334,1.1666666666666667
18.749999,1.933011701892219,18.749999,2.799037105676658,62,1,1,2,2,16-24 ft.,Right Side,12,0.5833333333333334,14,1.1666666666666667,0.3591905564924115,0.72,2015-2021,3+ Makes,0.4469871512778951,-18.749999,2.4119348775047627,0.15,0.5833333333333334,1.1666666666666667
17.999999,2.3660244037844387,18.749999,2.799037105676658,62,1,1,2,2,16-24 ft.,Right Side,12,0.5833333333333334,14,1.1666666666666667,0.3591905564924115,0.72,2015-2021,3+ Makes,0.4469871512778951,-18.414758636541578,2.6054859915907103,0.15,0.5833333333333334,1.1666666666666667
17.999999,3.232049807568877,18.749999,2.799037105676658,62,1,1,2,2,16-24 ft.,Right Side,12,0.5833333333333334,14,1.1666666666666667,0.3591905564924115,0.72,2015-2021,3+ Makes,0.4469871512778951,-18.414758636541578,2.9925882197626055,0.15,0.5833333333333334,1.1666666666666667
18.749999,3.6650625094610967,18.749999,2.799037105676658,62,1,1,2,2,16-24 ft.,Right Side,12,0.5833333333333334,14,1.1666666666666667,0.3591905564924115,0.72,2015-2021,3+ Makes,0.4469871512778951,-18.749999,3.186139333848553,0.15,0.5833333333333334,1.1666666666666667
